,Country,Treat_Grp,Year,post_recession,BPM,Danceability,Energy,Happy,Loudness,youth_unemployment
32,BRA,0,2004,0,122.10786516853932,0.6057977528089888,0.683561797752809,0.5578629213483146,-6.589337078651685,0.20034
33,BRA,0,2005,0,121.7268804347826,0.6225869565217391,0.7339347826086956,0.6117065217391305,-6.2126413043478275,0.21399
34,BRA,0,2006,0,120.82070000000002,0.6160555555555555,0.7025777777777777,0.5605222222222223,-5.9538111111111105,0.1988299999999999
35,BRA,0,2007,0,123.82077083333336,0.6361770833333332,0.6886875,0.5466083333333334,-6.3929166666666655,0.18795
36,BRA,0,2008,0,124.16146391752578,0.6198762886597938,0.6975463917525773,0.5763608247422681,-6.7115670103092775,0.17556
37,BRA,0,2009,1,122.22184536082474,0.627360824742268,0.7183505154639176,0.5824020618556702,-5.852123711340206,0.19774
38,BRA,0,2010,1,125.34229787234044,0.6320212765957446,0.7441063829787233,0.5754787234042553,-5.775882978723406,0.18242
39,BRA,0,2011,1,122.355,0.6366382978723404,0.7720957446808511,0.5574936170212765,-5.4137872340425535,0.16928
40,BRA,0,2012,1,122.56178571428572,0.6198367346938775,0.7375510204081632,0.5869693877551021,-5.394724489795919,0.15854
41,BRA,0,2013,1,123.21366336633665,0.6295544554455444,0.7585148514851485,0.6003465346534654,-5.291455445544553,0.157
14,KOR,0,2000,0,125.25009473684209,0.6224526315789474,0.6784063157894736,0.5237242105263157,-6.343252631578949,0.10002
15,KOR,0,2001,0,121.73909,0.6060699999999999,0.638587,0.466142,-6.47194,0.09359
16,KOR,0,2002,0,122.88776288659795,0.5977319587628865,0.6242783505154639,0.4919381443298968,-6.582185567010309,0.07902
17,KOR,0,2003,0,116.86532653061224,0.6020510204081633,0.613326530612245,0.4737091836734693,-6.6141530612244885,0.0942399999999999
18,KOR,0,2004,0,120.5157,0.59386,0.6191599999999999,0.4394820000000001,-6.461659999999999,0.09798
19,KOR,0,2005,0,115.58234408602148,0.5724408602150539,0.6014043010752688,0.4325978494623657,-6.094333333333333,0.09321
20,KOR,0,2006,0,118.43188888888886,0.5816060606060605,0.6083030303030303,0.4279959595959596,-6.432353535353536,0.08916
21,KOR,0,2007,0,125.59416,0.5648000000000001,0.6433600000000002,0.441416,-6.386580000000001,0.07853
22,KOR,0,2008,0,122.47958,0.67184,0.73372,0.5918000000000001,-5.03564,0.0865
23,KOR,0,2009,1,127.48521999999996,0.66598,0.75446,0.5808199999999999,-4.23088,0.09221
24,KOR,0,2010,1,123.37774,0.6559799999999999,0.7646,0.55786,-4.45374,0.0853999999999999
25,KOR,0,2011,1,127.94562105263157,0.6298736842105264,0.7394631578947369,0.5545252631578947,-4.377631578947369,0.08298
26,KOR,0,2012,1,125.60589999999998,0.65345,0.73685,0.5490400000000001,-4.542210000000001,0.07738
27,KOR,0,2013,1,118.40584000000004,0.63956,0.7090400000000001,0.57226,-4.9467,0.07915
0,SGP,0,2000,0,120.52232000000002,0.63996,0.7299380000000001,0.620234,-6.62947,0.06827
1,SGP,0,2001,0,115.61275,0.638,0.6989600000000001,0.6200420000000001,-5.951129999999999,0.07396
2,SGP,0,2002,0,118.58455999999998,0.6313799999999999,0.747966,0.5831999999999999,-5.567480000000001,0.1076699999999999
3,SGP,0,2003,0,118.64324000000002,0.64024,0.71628,0.583352,-5.651410000000001,0.09847
4,SGP,0,2004,0,118.49106000000002,0.6287800000000001,0.71134,0.576542,-5.74041,0.10514
5,SGP,0,2005,0,120.31799,0.62853,0.71762,0.58162,-5.668409999999999,0.1038
6,SGP,0,2006,0,122.6651111111111,0.6158888888888889,0.7124343434343435,0.5477777777777778,-5.614242424242423,0.08634
7,SGP,0,2007,0,123.20752525252526,0.615929292929293,0.7454747474747475,0.5553939393939394,-5.236444444444445,0.08496
8,SGP,0,2008,0,124.23819,0.6228300000000001,0.7315699999999999,0.545621,-5.245989999999999,0.0880899999999999
9,SGP,0,2009,1,126.46837,0.6284000000000001,0.7481699999999999,0.54474,-5.03794,0.1248799999999999
10,SGP,0,2010,1,123.58608,0.61951,0.7723289999999997,0.5347799999999999,-4.98246,0.09413
11,SGP,0,2011,1,126.59543,0.62564,0.7652599999999998,0.540838,-4.86917,0.08868
12,SGP,0,2012,1,124.72571,0.62823,0.7680400000000001,0.5782069999999999,-5.0338899999999995,0.08529
13,SGP,0,2013,1,119.2298,0.63229,0.7159,0.5162,-5.465800000000001,0.08903
56,USA,1,2000,0,117.83023,0.6787500000000003,0.7063600000000001,0.613833,-6.255070000000002,0.09278
57,USA,1,2001,0,114.62250000000002,0.65711,0.69638,0.5906440000000001,-5.887180000000001,0.10492
58,USA,1,2002,0,118.32529,0.6706699999999999,0.70391,0.607962,-5.779920000000001,0.11935
59,USA,1,2003,0,115.29325,0.6703600000000002,0.6796699999999999,0.611744,-5.886120000000001,0.12362
60,USA,1,2004,0,117.34086000000003,0.6782199999999999,0.6787400000000001,0.592906,-5.99078,0.11791
61,USA,1,2005,0,114.51175,0.67975,0.68062,0.5610499999999999,-5.99538,0.1124
62,USA,1,2006,0,116.73917,0.6840799999999999,0.68216,0.5549000000000001,-5.83255,0.1043
63,USA,1,2007,0,120.39272,0.66143,0.71572,0.57501,-5.340889999999999,0.10472
64,USA,1,2008,0,122.46628999999996,0.6488700000000001,0.71223,0.5167930000000001,-5.41364,0.1276
65,USA,1,2009,1,126.11808,0.6314799999999999,0.7295900000000001,0.5320790000000001,-5.013740000000001,0.17517
66,USA,1,2010,1,117.54466000000002,0.62527,0.7519899999999998,0.55265,-4.8223,0.18361
67,USA,1,2011,1,127.83062,0.62694,0.7544099999999999,0.5376870000000001,-5.05051,0.1727199999999999
68,USA,1,2012,1,127.19719191919192,0.6477474747474747,0.7378787878787878,0.5643030303030303,-5.121575757575757,0.1621099999999999
69,USA,1,2013,1,120.54375999999998,0.63717,0.7060200000000001,0.520993,-5.610769999999999,0.15558
